Image Name,Directory,Numberplate
T00217_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KOA 9036
T00272_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KMC 5284
T00304_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KHQ 4547
T00336_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KBN 8490
T00412_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KN N 9954
T00419_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KDL 4712
T00509_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KMX 7073
T00607_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KBC 3805
T00689_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),HCY 1241
T00713_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KNT 9483
T00791_bike.jpg,Vehicle Snapshots\Bikes (Number-Plates On The Rear Mud-Guard),KBY 0889
